FULL_ADDRESS,Source,Longitude,Latitude
"675 VFW PARKWAY, Boston, MA",SAM,,
"651 VFW PARKWAY, Boston, MA",SAM,,
"637 VFW PARKWAY, Boston, MA",SAM,,
"663 VFW PARKWAY, Boston, MA",SAM,,
"639 VFW PARKWAY, Boston, MA",SAM,,
"1 LONG ISLAND ROAD, Boston, MA",SAM,-71.16846503892657,42.27824762734268
"15 FENTON STREET, Boston, MA",SAM,-71.05789611358843,42.302949520788665
"131 HOLTON STREET, Boston, MA",SAM,-71.13953928153005,42.36094843284187
"1734 RIVER STREET, Boston, MA",SAM,-71.13692829192274,42.24459546197635
"5 BRINTON STREET, Boston, MA",SAM,-71.0925899685655,42.320282567572
"132 ORANGE STREET, Boston, MA",SAM,-71.1391213049266,42.28113537256192
"4 BLOOMFIELD STREET, Boston, MA",SAM,-71.06562579333318,42.29982763359691
"9 HOPKINS STREET, Boston, MA",SAM,-71.08384943680876,42.28233890774664
"209 DUDLEY STREET, Boston, MA",SAM,-71.08108252692277,42.328432968744075
"5 SAINT GEORGE STREET, Boston, MA",SAM,-71.07179044567896,42.338585484328505
"28 GURNEY STREET, Boston, MA",SAM,-71.09594867078475,42.33217009824707
"5 FALCON LANE, Boston, MA",SAM,-71.09570978234429,42.28772412096343
"2001 WASHINGTON STREET, Boston, MA",SAM,-71.08137268308111,42.33247204111695
"255 DORCHESTER STREET, Boston, MA",SAM,-71.05212820975903,42.33222170833252
"26 NEW STREET, Boston, MA",SAM,-71.0437515231419,42.37098397196575
"22 WOODBINE STREET, Boston, MA",SAM,-71.08058258030437,42.319485483562666
"35 HUNTINGTON AVENUE, Boston, MA",SAM,-71.1189913862148,42.27025610671001
"262 CENTRE STREET, Boston, MA",SAM,-71.10111143434072,42.322788524790276
"2 ANN STREET, Boston, MA",SAM,-71.0465255795916,42.2857732112339
"8 ANN STREET, Boston, MA",SAM,-71.04650415491263,42.28572987493973
"1383 BOYLSTON STREET, Boston, MA",SAM,-71.10023599545652,42.343960922159404
"67 FARGO STREET, Boston, MA",SAM,-71.04082843219484,42.34441541291029
"38 FARNSWORTH STREET, Boston, MA",SAM,-71.04869879584986,42.35123101337975
"58 THOMSON PLACE, Boston, MA",SAM,-71.0465652754761,42.35133047137967
"69 FARGO STREET, Boston, MA",SAM,-71.04081309255689,42.344415618811
"2 WORMWOOD STREET, Boston, MA",SAM,-71.05049856006787,42.34758426637021
"535 SUMMER STREET, Boston, MA",SAM,-71.0378749945972,42.343428775170416
"503 SUMMER STREET, Boston, MA",SAM,-71.03803315190262,42.34353569844316
"500 SUMMER STREET, Boston, MA",SAM,-71.03793839749892,42.34362693622286
"388 DORCHESTER STREET, Boston, MA",SAM,-71.05649280252806,42.329759198968404
"91 BELVIDERE STREET, Boston, MA",SAM,-71.08487918599772,42.346063543771784
"133 GUEST STREET, Boston, MA",SAM,-71.14431308042687,42.356796591349024
"36 POYDRAS STREET, Boston, MA",SAM,-71.10545585409388,42.26267286556753
"903 MASSACHUSETTS AVENUE, Boston, MA",SAM,-71.0704617282438,42.330943262753415
"114 FLOYD STREET, Boston, MA",SAM,-71.08639650513433,42.28850588489906
"116 FLOYD STREET, Boston, MA",SAM,-71.08635723909255,42.28849279621514
"107 STRATTON STREET, Boston, MA",SAM,-71.0848888060554,42.28870949256476
"11 RUGGLES STREET, Boston, MA",SAM,-71.08296499284585,42.33132998202309
"125 STRATTON STREET, Boston, MA",SAM,-71.08407259339972,42.28868397563802
"0 EMERSON PLACE, Boston, MA",SAM,,
"117 DEERING ROAD, Boston, MA",SAM,-71.09551910895804,42.285458850012816
"2 EGRET WAY, Boston, MA",SAM,,
"12 EGRET WAY, Boston, MA",SAM,,
"26 EGRET WAY, Boston, MA",SAM,,
"32 EGRET WAY, Boston, MA",SAM,,
"1 EGRET WAY, Boston, MA",SAM,,
"1 FIELD SPARROW WAY, Boston, MA",SAM,,
"7 FIELD SPARROW WAY, Boston, MA",SAM,,
"4 FIELD SPARROW WAY, Boston, MA",SAM,,
"14 FIELD SPARROW WAY, Boston, MA",SAM,,
"24 FIELD SPARROW WAY, Boston, MA",SAM,,
"82 OCEAN VIEW DRIVE, Boston, MA",SAM,-71.03795563292996,42.31886998739687
"12 MAIN STREET, Boston, MA",SAM,-71.06202686482318,42.37243823206951
"132 JERSEY STREET, Boston, MA",SAM,-71.0968911924065,42.342776375090615
"1 COPPERSMITH WAY, Boston, MA",SAM,-71.04186662066749,42.3720500045005
"190 PILGRIM ROAD, Boston, MA",SAM,-71.11041784667671,42.33753817652291
"181 COLERIDGE STREET, Boston, MA",SAM,-71.0130028826237,42.38142625085955
"106 MOUNT PLEASANT AVENUE, Boston, MA",SAM,-71.07742050638053,42.32541866245104
"18 CRESTWAY ROAD, Boston, MA",SAM,-71.00498092152309,42.39215178450959
"63 MARGINAL STREET, Boston, MA",SAM,-71.03790646380895,42.3661190766935
"571 AMERICAN LEGION HIGHWAY, Boston, MA",SAM,-71.10906176549011,42.28642460639811
"8 CAWFIELD STREET, Boston, MA",SAM,-71.06381968987438,42.31955513550326
"72 DRESSER STREET, Boston, MA",SAM,-71.04557326622995,42.33833357590712
"14 MARGIN STREET, Boston, MA",SAM,-71.12415649120655,42.251146615790496
"888 METROPOLITAN AVENUE, Boston, MA",SAM,-71.11234067079427,42.255523634452445
"43 MANSFIELD STREET, Boston, MA",SAM,-71.13134552222033,42.3585134012226
"200 SAVIN HILL AVENUE, Boston, MA",SAM,-71.0495495063532,42.30865263179788
"58 THIRTEENTH STREET, Boston, MA",SAM,-71.0517182328364,42.377766736816255
