FULL_ADDRESS,Source,Longitude,Latitude
"168 CALUMET STREET, Boston, MA",SAM,-71.101870443924,42.32961753641939
"172 CALUMET STREET, Boston, MA",SAM,-71.1017963788911,42.32959815491012
"193 CALUMET STREET, Boston, MA",SAM,-71.1014680763129,42.32937716164209
"177 CAMBRIDGE STREET, Boston, MA",SAM,-71.12437967939243,42.358732445614976
"573 CAMBRIDGE STREET, Boston, MA",SAM,-71.14110577713302,42.35231407647103
"631 CAMBRIDGE STREET, Boston, MA",SAM,-71.14516223391468,42.35105381076481
"739 CAMBRIDGE STREET, Boston, MA",SAM,-71.14854853407545,42.349674539846646
"315 CAMBRIDGE STREET, Boston, MA",SAM,-71.13243551586133,42.3557627410195
"100 CAMDEN STREET, Boston, MA",SAM,-71.08130486950154,42.33783622976173
"101 CAMDEN STREET, Boston, MA",SAM,-71.08049026972333,42.33743701510077
"102 CAMDEN STREET, Boston, MA",SAM,-71.08135595792373,42.33787224894519
"103 CAMDEN STREET, Boston, MA",SAM,-71.08051029712563,42.33745028479361
"104 CAMDEN STREET, Boston, MA",SAM,-71.08140704634594,42.33790826812864
"105 CAMDEN STREET, Boston, MA",SAM,-71.08053032452793,42.337463554486476
"106 CAMDEN STREET, Boston, MA",SAM,-71.08145813476816,42.33794428731211
"108 CAMDEN STREET, Boston, MA",SAM,-71.08150922319038,42.33798030649555
"109 CAMDEN STREET, Boston, MA",SAM,-71.08057037933253,42.337490093872184
"114 CAMDEN STREET, Boston, MA",SAM,-71.08168905339845,42.33811227775977
"116 CAMDEN STREET, Boston, MA",SAM,-71.08170562031417,42.33812516314154
"118 CAMDEN STREET, Boston, MA",SAM,-71.08172218722987,42.338138048523305
"120 CAMDEN STREET, Boston, MA",SAM,-71.08173875414558,42.3381509339051
"59 CAMDEN STREET, Boston, MA",SAM,-71.07995359984032,42.337079347120486
"61 CAMDEN STREET, Boston, MA",SAM,-71.07997706774184,42.337095142826975
"63 CAMDEN STREET, Boston, MA",SAM,-71.08000053564334,42.337110938533456
"65 CAMDEN STREET, Boston, MA",SAM,-71.08002400354486,42.33712673423995
"67 CAMDEN STREET, Boston, MA",SAM,-71.08004747144636,42.33714252994643
"69 CAMDEN STREET, Boston, MA",SAM,-71.08007093934789,42.33715832565294
"71 CAMDEN STREET, Boston, MA",SAM,-71.0800944072494,42.337174121359425
"74 CAMDEN STREET, Boston, MA",SAM,-71.08062878914566,42.33737490708935
